,Max Temperature In  C
R16:Capacity Planning26,25.13
R16:Capacity Planning27,25.13
R16:Capacity Planning28,25.13
R16:Capacity Planning29,25.14
R16:Capacity Planning30,25.14
R16:Capacity Planning31,25.14
R16:Capacity Planning32,25.15
R16:Capacity Planning33,25.15
R16:Capacity Planning34,25.16
R16:Capacity Planning35,25.16
R16:Capacity Planning36,25.18
R16:Capacity Planning37,25.18
R16:Capacity Planning38,25.21
R16:Capacity Planning39,25.21
R16:Capacity Planning40,25.21
R16:Capacity Planning41,25.28
R16:Capacity Planning42,25.28
R17:Capacity Planning0,25.08
R17:Capacity Planning1,25.08
R17:Capacity Planning2,25.09
R17:Capacity Planning3,25.09
R17:Capacity Planning4,25.09
R17:Capacity Planning5,25.09
R17:Capacity Planning6,25.09
R17:Capacity Planning7,25.1
R17:Capacity Planning8,25.1
R17:Capacity Planning9,25.1
R17:Capacity Planning10,25.1
R17:Capacity Planning11,25.1
R17:Capacity Planning12,25.1
R17:Capacity Planning13,25.1
R17:Capacity Planning14,25.11
R17:Capacity Planning15,25.11
R17:Capacity Planning16,25.11
R17:Capacity Planning17,25.11
R17:Capacity Planning18,25.11
R17:Capacity Planning19,25.11
R17:Capacity Planning20,25.12
R17:Capacity Planning21,25.12
R17:Capacity Planning22,25.12
R17:Capacity Planning23,25.12
R17:Capacity Planning24,25.12
R17:Capacity Planning25,25.13
R17:Capacity Planning26,25.13
R17:Capacity Planning27,25.13
R17:Capacity Planning28,25.13
R17:Capacity Planning29,25.13
R17:Capacity Planning30,25.13
R17:Capacity Planning31,25.13
R17:Capacity Planning32,25.13
R17:Capacity Planning33,25.13
R17:Capacity Planning34,25.14
R17:Capacity Planning35,25.14
R17:Capacity Planning36,25.15
R17:Capacity Planning37,25.15
R17:Capacity Planning38,25.17
R17:Capacity Planning39,25.17
R17:Capacity Planning40,25.17
R17:Capacity Planning41,25.19
R17:Capacity Planning42,25.19
R18:Capacity Planning0,25.08
R18:Capacity Planning1,25.08
R18:Capacity Planning2,25.08
R18:Capacity Planning3,25.08
R18:Capacity Planning4,25.08
R18:Capacity Planning5,25.09
R18:Capacity Planning6,25.09
R18:Capacity Planning7,25.09
R18:Capacity Planning8,25.09
R18:Capacity Planning9,25.09
R18:Capacity Planning10,25.09
R18:Capacity Planning11,25.09
R18:Capacity Planning12,25.09
R18:Capacity Planning13,25.09
R18:Capacity Planning14,25.1
R18:Capacity Planning15,25.1
