,Max Temperature In  C
R14:Capacity Planning15,25.35
R14:Capacity Planning16,25.36
R14:Capacity Planning17,25.36
R14:Capacity Planning18,25.36
R14:Capacity Planning19,25.36
R14:Capacity Planning20,25.37
R14:Capacity Planning21,25.37
R14:Capacity Planning22,25.37
R14:Capacity Planning23,25.38
R14:Capacity Planning24,25.38
R14:Capacity Planning25,25.39
R14:Capacity Planning26,25.39
R14:Capacity Planning27,25.39
R14:Capacity Planning28,25.39
R14:Capacity Planning29,25.4
R14:Capacity Planning30,25.4
R14:Capacity Planning31,25.4
R14:Capacity Planning32,25.4
R14:Capacity Planning33,25.4
R14:Capacity Planning34,25.41
R14:Capacity Planning35,25.41
R14:Capacity Planning36,25.42
R14:Capacity Planning37,25.42
R14:Capacity Planning38,25.44
R14:Capacity Planning39,25.44
R14:Capacity Planning40,25.44
R14:Capacity Planning41,25.48
R14:Capacity Planning42,25.48
R16:Capacity Planning0,25.17
R16:Capacity Planning1,25.17
R16:Capacity Planning2,25.2
R16:Capacity Planning3,25.2
R16:Capacity Planning4,25.2
R16:Capacity Planning5,25.24
R16:Capacity Planning6,25.24
R16:Capacity Planning7,25.28
R16:Capacity Planning8,25.28
R16:Capacity Planning9,25.31
R16:Capacity Planning10,25.31
R16:Capacity Planning11,25.33
R16:Capacity Planning12,25.33
R16:Capacity Planning13,25.33
R16:Capacity Planning14,25.34
R16:Capacity Planning15,25.34
R16:Capacity Planning16,25.35
R16:Capacity Planning17,25.35
R16:Capacity Planning18,25.35
R16:Capacity Planning19,25.35
R16:Capacity Planning20,25.35
R16:Capacity Planning21,25.35
R16:Capacity Planning22,25.35
R16:Capacity Planning23,25.34
R16:Capacity Planning24,25.34
R16:Capacity Planning25,25.34
R16:Capacity Planning26,25.34
R16:Capacity Planning27,25.34
R16:Capacity Planning28,25.34
R16:Capacity Planning29,25.35
R16:Capacity Planning30,25.35
R16:Capacity Planning31,25.35
R16:Capacity Planning32,25.35
R16:Capacity Planning33,25.35
R16:Capacity Planning34,25.36
R16:Capacity Planning35,25.36
R16:Capacity Planning36,25.37
R16:Capacity Planning37,25.37
R16:Capacity Planning38,25.38
R16:Capacity Planning39,25.38
R16:Capacity Planning40,25.38
R16:Capacity Planning41,25.42
R16:Capacity Planning42,25.42
R17:Capacity Planning0,25.19
R17:Capacity Planning1,25.19
R17:Capacity Planning2,25.22
R17:Capacity Planning3,25.22
R17:Capacity Planning4,25.22
R17:Capacity Planning5,25.26
R17:Capacity Planning6,25.26
R17:Capacity Planning7,25.28
R17:Capacity Planning8,25.28
R17:Capacity Planning9,25.3
R17:Capacity Planning10,25.3
R17:Capacity Planning11,25.31
R17:Capacity Planning12,25.31
R17:Capacity Planning13,25.31
R17:Capacity Planning14,25.31
R17:Capacity Planning15,25.31
R17:Capacity Planning16,25.31
R17:Capacity Planning17,25.31
R17:Capacity Planning18,25.31
R17:Capacity Planning19,25.31
R17:Capacity Planning20,25.31
R17:Capacity Planning21,25.31
R17:Capacity Planning22,25.31
R17:Capacity Planning23,25.31
R17:Capacity Planning24,25.31
R17:Capacity Planning25,25.31
R17:Capacity Planning26,25.31
R17:Capacity Planning27,25.32
R17:Capacity Planning28,25.32
R17:Capacity Planning29,25.33
R17:Capacity Planning30,25.33
R17:Capacity Planning31,25.33
R17:Capacity Planning32,25.34
R17:Capacity Planning33,25.34
R17:Capacity Planning34,25.34
R17:Capacity Planning35,25.34
R17:Capacity Planning36,25.35
R17:Capacity Planning37,25.35
R17:Capacity Planning38,25.36
R17:Capacity Planning39,25.36
R17:Capacity Planning40,25.36
R17:Capacity Planning41,25.39
R17:Capacity Planning42,25.39
R18:Capacity Planning0,25.22
R18:Capacity Planning1,25.22
R18:Capacity Planning2,25.24
R18:Capacity Planning3,25.24
R18:Capacity Planning4,25.24
R18:Capacity Planning5,25.26
R18:Capacity Planning6,25.26
R18:Capacity Planning7,25.28
R18:Capacity Planning8,25.28
R18:Capacity Planning9,25.28
R18:Capacity Planning10,25.28
R18:Capacity Planning11,25.29
R18:Capacity Planning12,25.29
R18:Capacity Planning13,25.29
R18:Capacity Planning14,25.28
R18:Capacity Planning15,25.28
R18:Capacity Planning16,25.28
R18:Capacity Planning17,25.28
R18:Capacity Planning18,25.27
R18:Capacity Planning19,25.27
R18:Capacity Planning20,25.27
R18:Capacity Planning21,25.27
R18:Capacity Planning22,25.27
R18:Capacity Planning23,25.27
R18:Capacity Planning24,25.27
R18:Capacity Planning25,25.28
R18:Capacity Planning26,25.28
R18:Capacity Planning27,25.29
R18:Capacity Planning28,25.29
R18:Capacity Planning29,25.31
R18:Capacity Planning30,25.31
R18:Capacity Planning31,25.31
R18:Capacity Planning32,25.33
R18:Capacity Planning33,25.33
R18:Capacity Planning34,25.35
R18:Capacity Planning35,25.35
R18:Capacity Planning36,25.37
R18:Capacity Planning37,25.37
R18:Capacity Planning38,25.4
